id,name,zipcode,categories,pickup,delivery,price_range,rating
zj8Lq1T8KIC5zwFief15jg,Prince Street Pizza,10012,"pizza, italian",1,1,$,4.5
j1S3NUrkB3BVT49n_e76NQ,Best Bagel & Coffee,10001,"bagels, coffee & tea, breakfast & brunch",1,1,$,4.5
SULHf6nGQ8sK0UpG1XU30w,Los Tacos No.1,10036,tacos,0,1,$,4.5
v1DHGRNCH9247WLYoaoA9A,L'industrie Pizzeria,11211,pizza,0,1,$,4.5
vk7W3_sQwr7eZbRFsXv6rw,Taiyaki NYC,10013,"desserts, japanese, ice cream & frozen yogurt",0,1,$,4.5
X8ZS-dgiMIJvhwf9SaDnjw,Wah Fung No 1,10002,"fast food, cantonese",0,1,$,4.5
-9NO2IDCJMyNGZMAQ1-VQw,NY Pizza Suprema,10001,pizza,1,1,$,4.5
Ys9iYSjuFDpZj7B1X07v5g,Liberty Bagels Midtown,10001,"breakfast & brunch, bagels, sandwiches",1,1,$,4.5
xEnNFXtMLDF5kZDxfaCJgA,The Halal Guys,10019,"food stands, middle eastern, halal",1,1,$,4
nD7Hcq5aaCASbWzc0-Sg3A,Bobwhite Counter,10009,"southern, comfort food, american (traditional)",1,1,$,4.5
lynQoI3w_pzYfHGeuUU-Qg,Shu Jiao Fu Zhou,10002,chinese,1,1,$,4.5
c3eMI4_o4dPDDhPV_ibBYQ,Ess-a-Bagel,10022,"bagels, breakfast & brunch, sandwiches",1,1,$,4
uc5qQMzs96rzjK27epDCug,Joe's Pizza,10014,pizza,0,1,$,4
KEEXuHCYhsQJ-zpJhu98bA,Joe's Pizza,10018,pizza,1,1,$,4
IhSVn0TaX8xXb3wcQ-fgcA,Vanessa's Dumpling House,10002,chinese,1,1,$,4
MauzeeZM7S-wUk_G98Ybrg,Mei Lai Wah Bakery,10013,"bakeries, dim sum, noodles",1,1,$,4
pb_ryc8FYHpUPV56eV2Eyg,Brooklyn Bagel & Coffee Company,10001,"bagels, breakfast & brunch, cafes",1,1,$,4.5
O0xFECgTDf1rbZzW9qUULQ,Peter Pan Donut & Pastry Shop,11222,"bakeries, donuts, patisserie/cake shop",0,1,$,4.5
Uut2fBy53XdIgx1rLWdQeg,Empanada Mama L.E.S,10002,"latin american, food delivery services, burgers",1,1,$,4
uBGjcW-GuYy_qSvMykuISA,Pommes Frites,10012,"belgian, specialty food, poutineries",1,1,$,4.5
kNOr6_g6QfBHdhf89j3g5w,Taiwan Pork Chop House,10013,"taiwanese, chinese, noodles",0,1,$,4
o6q3jm-dU5A6nV3r2lBg9A,Chinatown Ice Cream Factory,10013,"ice cream & frozen yogurt, desserts",0,1,$,4
6G_NSMacAfdf-WYOpcQ4uw,Eileen's Special Cheesecake,10012,"bakeries, desserts",1,1,$,4.5
bT4CDzyhV-frXV6ijvXnvw,Super Taste,10002,"chinese, noodles",1,1,$,4
ejuFKvSfGl0JMZO9yzSXNw,Louie's Pizza,11373,"italian, pizza",1,1,$,4.5
n1xpGOPa7XRq4or7QLjzHw,DokoDemo,10003,"ramen, fast food",1,1,$,4.5
oJ_XSPZFpvIt6rvheSQl7A,Bleecker Street Pizza,10014,"pizza, italian",1,1,$,4
vfYhEpp0x-DrNjC6GSJjPQ,Artichoke Basille's Pizza,10003,pizza,1,1,$,4
pimuUR-TEHIjUla3S3jemQ,Coffee Project New York | East Village,10003,"coffee & tea, sandwiches",0,1,$,4.5
CCBy_QYHbTtPrAKHS3pqHg,Pita Palace,11211,"middle eastern, falafel",0,1,$,5
hNFe8WhCibrqT4sFcZmAgw,Kong Sihk Tong 港食堂,10013,"chinese, hong kong style cafe",1,1,$,4
z9sRnN1gPyxz9SJ52XDWoQ,Chobani,10012,"coffee & tea, sandwiches, cafes",1,1,$,4.5
2n01u4yKfIrWuOzRVvIZmw,Crif Dogs,10009,"hot dogs, american (new)",1,1,$,4
R8V6kbUtyfPAwNNu46vMvg,Tonii’s Fresh Rice Noodle,10013,"chinese, noodles",1,1,$,4.5
hGksyTiHBBdrhbiVjXzWVw,Scarr's Pizza,10002,pizza,1,1,$,4
HScFap2SwbUlfC-QXVkxFA,Xi'an Famous Foods,10036,"chinese, burgers, noodles",0,1,$,4
0AoaUlXkQOlalpA3v-Ivqw,Lava Shawarma,10002,"mediterranean, middle eastern",1,1,$,4.5
PWsU_ORsfcjeeUqocm9vQg,Petee's Pie Company,10002,"bakeries, coffee & tea, desserts",1,1,$,4.5
oRdM7n-AfBPBGAlH4Q0Sag,My Pie Pizzeria Romana,10022,pizza,1,1,$,4.5
xpDp5zKQJHu7Ljgs1PKLJw,La Cabra NYC,10003,"bakeries, cafes, coffee & tea",0,0,$,4.5
uYMimeHJ5XBGkyTrg8GXhw,Joey Bats Café,10002,"desserts, portuguese, cafes",1,1,$,4.5
VSPkVw9gSQx-5v4A6aC_YA,Manousheh - Bleecker,10012,"lebanese, halal, sandwiches",1,1,$,4.5
XPbcjRWxumT4ZQr-7uqOAw,Los Tacos No.1,10012,tacos,0,0,$,4.5
qVSOes5JoWc5_umv4nd4Hg,Sugar Sweet Sunshine Bakery,10002,"bakeries, desserts, cupcakes",1,1,$,4
nOCjslrdcKBQQYgD5qUs9Q,Kam Hing Coffee Shop,10013,"bakeries, coffee & tea",1,1,$,4.5
kpxXi23lUQkeJQH-2BtzDw,Qahwah House,11249,"middle eastern, coffee & tea",1,1,$,4.5
UtknyDJ_DPut-FKRqs0wpQ,Royal Grill Halal Food,10018,"halal, food trucks, indian",1,1,$,4.5
#NAME?,Village Square Pizza,10009,pizza,1,1,$,4.5
O-zwQQV8AExgdPoJiqjpDg,Ba Xuyen,11232,"vietnamese, sandwiches",0,1,$,4.5
lxPVSGnZ7YTiO5OGrqBS8Q,Vinnie's Pizzeria,11211,"pizza, italian",1,1,$,4
LdbANxQjzdvzBqUESYTUnw,Los Tacos No. 1,10017,tacos,0,1,$,4.5
